ID ,question,answer
1028,a yearold man presents to a surgeon with painless swelling over his right leg he noticed the swelling  months ago but he ignored it because it was painless however he is now concerned as the swelling has been increasing in size over the last  months he also mentions that his father and brother have lipomas over the extremities on physical examination the swelling is wellcircumscribed and nontender measuring approximately  x  cm after evaluation the surgeon performs a surgical resection of the tumor and sends the tissue for histopathological examination the pathologist reports the tumor to be a liposarcoma rather than a lipoma which of the following enzymes is most likely to show increased activity in the cells of this patients tumor,telomerase
1029,a yearold woman presents to her primary care physician for a wellness visit she says that she has been generally healthy but has noticed difficulty concentrating becoming increasingly fatigued and a pound weight increase over the course of a few months she also reports mild constipation and joint pain approximately months ago she experienced palpitations increased stool frequency and a hand tremor her past medical history is significant for asthma her father is not living and had parkinson disease and her mother has poorly controlled rheumatoid arthritis she is currently sexually active in a monogamous relationship and uses contraception consistently she denies cigarette smoking and occasionally drinks wine she experimented once with lysergic acid diethylamide  years ago her temperature is f c blood pressure is  mmhg pulse is min and respirations are min on physical exam the patient has slow speech and movement she has tenderness to palpation of her wrist and ankle joints she has delayed relaxation of deep tendon reflexes which of the following will most likely be found in this patient,elevated tsh
1030,a g lb oz female newborn is delivered at  weeks gestation to a yearold woman gravida  para  apgar scores are  and  at  and  minutes respectively the mother has a history of schizophrenia and was treated with lithium until  weeks gestation when she found out that she was pregnant the mother was treated for alcohol abuse disorder  years ago she has been sober for  months now examination shows that the child has micrognathia a broad nasal bridge a short philtrum and small lowset ears examination of the mouth shows a cleft palate a grade  systolic ejection murmur can be heard over the left sternal border echocardiography shows a single overriding great vessel arising from the heart further evaluation is most likely to show which of the following findings,low levels of parathyroid hormone in serum
1031,a yearold boy is brought to his pediatrician after discovering a painless mass in the left testicle results from tumor markers and a biopsy are as followsnafp  ngml normal value   ngmlnhcg  iul normal value   iulnbiopsy presence of glomerulilike structures with a central capillary within a mesodermal core lined by flattened layers of germ cellsnwhat is the most likely diagnosis in this patient,yolk sac tumor
1032,an yearold man presents with severe pain of the right lower extremity he says that symptoms had an acute onset while he was in the icu for a copd exacerbation due to a recent upper respiratory infection which was treated with nebulized albuterol and ipratropium bromide continuous oxygen iv methylprednisolone and levofloxacin he says he has been hospitalized  other times this year for copd exacerbations the medical history is significant for a left main coronary artery myocardial infarction after a coronary artery bypass graft cabg  months ago mild cognitive impairment and type  diabetes mellitus current medications are metformin aspirin clopidogrel metoprolol atorvastatin galantamine and enalapril he reports a packyear smoking history but quit  years ago his temperature is c f blood pressure is  mm hg pulse is min respiratory rate is min and oxygen saturation is  on room air the physical examination is significant for the cutaneous finding shown in the picture the involved area is severely tender to palpation and there are warmth and crepitus a foulsmelling discharge is also noted pain seems out of proportion to the exam findings which of the following is the next best step in management,immediate debridement and empiric iv antibiotics
1033,a yearold woman presents to the emergency department after losing consciousness at work on presentation she is found to be somnolent though she is able to be woken by vocal stimuli she says that over the last  hours she has been experiencing muscle spasms blurred vision dry mouth and hallucinations she says that the symptoms started after she went on a hike in the woods and foraged from plants along the way physical exam reveals dry red skin and enlarged pupils her bladder is also found to be completely full though she says she is unable to urinate which of the following drugs would most likely be administered to this patient to treat her symptoms,physostigmine
1034,a yearold woman presents to the plastic surgery office  months following a rhinoplasty procedure the patient has been recovering well however she has noticed a small whistling noise when she respires through her nose which you appreciate on physical exam which of the following is the most likely cause of this phenomenon,a septal hematoma causing a perforation
1035,a yearold woman comes to the physician because of a day history of rash on the trunk and lower extremities three days ago she visited a spa resort with multiple swimming pools and whirlpools a friend of hers who also visited the spa has developed a similar rash she does not smoke or drink alcohol and takes no medications she appears well her vital signs are within normal limits examination shows multiple erythematous excoriated papules and pustules over the trunk and upper thighs the inflammation seen in this patients condition most likely originated in which of the following parts of the skin,hair follicles
1036,a yearold man is brought to the emergency department because of severe right shoulder pain and inability to move the shoulder after a fall while climbing outdoors examination shows the right upper extremity is externally rotated and slightly abducted there is loss of the the normal rounded appearance of the shoulder the right humeral head is palpated below the coracoid process sensation to pinprick over which of the following skin areas is most likely to be reduced,lateral aspect of the shoulder
1037,a yearold girl is brought to the emergency room after a suicide attempt her mother states that she found a large empty pill bottle next to her the patient is conscious and tearful she is currently complaining of severe abdominal pain but refuses to give any other history she has a blood pressure of  respiratory rate of min and heart rate of min on examination her abdomen is exquisitely tender with evidence of crepitus in the epigastric region abdominal ct reveals a gastric perforation which of the following is the most likely cause,decreased production of pge
1038,a yearold male presents to the ed with acuteonset chest pain his blood pressure is  mmhg and his his pulse is min he appears anxious and agitated and a careful exam reveals dilated pupils and a perforated nasal septum an ekg reveals st segment elevation so he is urgently taken for cardiac intervention upon review this patient reveals that he has not had care from a physician since he graduated from college in the interim he has been largely unemployed and admits that he has recently been homeless when asked directly the patient admits to alcohol and marijuana use but denies illicit drug use which of the following best describes the mechanism of action of the agent most likely responsible for this patients presentation,blocking reuptake of dopamine and norepinephrine
1039,a yearold woman comes to the physician because of difficulty falling asleep for the past  months she wakes up frequently during the night and gets up earlier than desired she experiences discomfort in her legs when lying down at night and feels the urge to move her legs the discomfort resolves when she gets up and walks around or moves her legs she has tried an overthecounter sleep aid that contains diphenhydramine which worsened her symptoms she exercises regularly and eats a wellbalanced diet she admits that she has been under a lot of stress lately her brother has similar symptoms the patient appears anxious physical examination shows no abnormalities a complete blood count and iron studies are within the reference range which of the following is the most appropriate pharmacotherapy for this patients symptoms,pramipexole
1040,a yearold woman is brought to the emergency department because of worsening upper abdominal pain for the past  hours she reports that the pain radiates to her back and is associated with nausea she has hypertension and hyperlipidemia for which she takes enalapril furosemide and simvastatin her temperature is c f blood pressure is  mm hg and pulse is min the lungs are clear to auscultation examination shows abdominal distention with epigastric tenderness and guarding bowel sounds are decreased extremities are warm laboratory studies shownhematocrit nleukocyte count mmnplatelet count mmnserum  ncalcium  mgdlnurea nitrogen  mgdlnamylase  ulnan ecg shows sinus tachycardia which of the following is the most likely underlying cause of this patients vital sign abnormalities,capillary leakage
1041,a yearold boy is brought to his pediatrician for evaluation because his parents have been concerned by a number of troubling signs specifically they have noticed that he has been exhibiting aggressive behavior as well as hyperactivity in addition he has had intellectual disability and is slow to hit developmental milestones physical exam reveals coarse facies short stature and joint stiffness eye exam reveals no abnormalities of the cornea or lens based on these findings the patient is referred to a geneticist for further evaluation which of the following substances would most likely accumulate in the cells of this patient,heparan sulfate
1042,a yearold man with a past medical history significant for down syndrome presents to the outpatient primary care clinic for a routine follow up and high risk screening he is relatively high functioning and currently has no additional significant medical conditions he feels well and a physical examination shows that he is within normal limits he denies any current tobacco use alcohol use or illicit drug use his vital signs include temperature c f blood pressure  mm hg heart rate min and respiratory rate min when considering possible conditions for which this patient is predisposed which of the following neoplasms is associated with down syndrome,acute lymphocytic leukemia
1043,a yearold woman presents to the office because she has felt a small painless mass in her neck which has been slowly growing she has no relevant past medical history her vital signs are within normal limits on physical exam of the thyroid gland a solitary nodule is palpated it is fixed to the surrounding tissues and nontender tsh is normal and antithyroid antibodies are negative which of the following is the most likely cause of this patients symptoms,papillary carcinoma
1044,a yearold boy presents to the pediatricians office his mother complains that he has been sleeping poorly and she has noticed that he often scratches his perianal area a scotch tape test is found to be positive and mebendazole is prescribed into which of the following subsets have the nave t cells th developed due to the infection in this patient,th cells
1045,a yearold righthanded man comes to the physician for a routine health maintenance examination on questioning he has had some difficulty speaking for  months during a conversation he often has difficulty repeating what his interlocutor has said he has hypertension and takes hydrochlorothiazide his vital signs are within normal limits the patient speaks fluently in full sentences and demonstrates normal comprehension when asked to say the word kindergarten he replies with sintelmarvin no thats wrongkinterflargin no that isnt it eitherkantolargenno how about kindergarten the most likely cause of the patients symptoms is occlusion of a branch of which of the following arteries,left middle cerebral
1046,an investigator is studying the frequency of polycythemia in a population of a remote mountainous region a representative sample of  men shows a normal distribution of hemoglobin concentration with a mean concentration of  gdl and a standard error of  gdl which of the following best represents the probability that a subject will have a hemoglobin concentration greater than  gdl,
1047,a yearold woman comes to the physician because of a month history of fatigue she also reports generalized itchiness that started approximately  months ago two weeks ago she noticed yellowing of her eyes she does not smoke or drink alcohol she uses eyedrops for persistent dryness of the eyes her vital signs are within normal limits physical examination shows jaundice of the conjunctivae and skin the mucous membranes of the mouth are dry the abdomen is soft the liver edge is palpable  cm below the right costal margin there are generalized skin excoriations laboratory studies shownhemoglobin  gdlnleukocyte count mmnplatelet count mmnserumnglucose  mgdlntotal bilirubin  mgdlndirect  mgdlnalkaline phosphatase  ulnast  ulnalt  ulnhepatitis b surface antigen negativenhepatitis b core igm antibody negativenhepatitis b surface antibody positivenhepatitis c antibody negativenultrasonography of the abdomen shows mildly increased echogenicity of the liver which of the following additional findings is most likely to be found in this patient,cutaneous xanthomas
1048,a yearold pregnant woman presents to her physician with flulike symptoms for the past  days she has a runny nose mild headache and feels achy she has a mild fever and diffuse rash over her body she is concerned about the health of her baby and wants to know if there are any medications that will make her feel better in a short time currently she is at her th week of gestation and has received the tetanus vaccination as part of the antenatal care program she received since she immigrated at the end of her first trimester from romania she is otherwise healthy considering this patient she is at a higher risk of giving birth to a newborn who will present with which of the following options,wide pulse pressure
1049,an investigator is studying bacterial adaptations to the environment in an infectious isolate and a noninfectious isolate of hemophilus influenzae type b animals exposed to the noninfectious isolate do not develop symptoms of infection the investigator cultivates the noninfectious isolate in a culture with lysed bacteria from the infectious isolate some of the animals exposed to these bacteria develop symptoms of infection which of the following processes is most likely responsible for the described findings,transformation
1050,a yearold female with a past medical history of high cholesterol high blood pressure hyperthyroidism and asthma presents to the primary care clinic today she has tried several different statins all of which have resulted in bothersome side effects her current medications include hydrochlorothiazide levothyroxine albuterol oral contraceptives and a multivitamin her physical examination is unremarkable her blood pressure is  mm hg and her heart rate is min you decide to initiate colesevelam welchol of the following which is a concern with the initiation of this medication,timing of the dosing of colesevelam should be separated from this patients other medications
1051,a yearold patient with a history of deep venous thrombosis is enrolled in a clinical trial for a new oral anticoagulant this novel drug has the property where its clearance is relatively predictable based on patient demographics and can easily be extrapolated from other data its metabolism and volume of distribution also do not change dramatically from patient to patient the investigator wants to make sure that the plasma concentration of the drug in this patient is  mgl and he knows the following drug characteristicsnnbioavailability ndrug halflife  hoursnvolume of distribution  litersnnwhich of the following represents the maintenance dose that should be given to this patient every  hours, milligrams
1052,a dayold infant boy presents to an emergency department due to poor feeding his parents are recent immigrants to the united states he was born in a traditional home birth and has never seen a medical provider mom had no prenatal care has no medical issues and is unvaccinated the baby had been breastfeeding well until  hours ago when mom noticed he started having trouble latching in the last  hours he has completely refused to feed he has had a decreased number of wet diapers and has stooled twice in the last  hours his temperature is f c pulse is min respirations are min and blood pressure is  mmhg on exam the infant has increased tone a clenched jaw no head lag and clenched hands initial screening bloodwork is normal what is the most likely organism causing this infants presentation,clostridium tetani
1053,a yearold woman presents with facial flushing weakness and chronic diarrhea for the past month she denies any history of smoking alcohol use or recreational drug use the patient was on a trip to thailand  years ago with her family but denies any recent travel her blood pressure is  mm hg pulse is min temperature is c f and respiratory rate is min laboratory findings are unremarkable except for a potassium level of  mmoll and serum calcium of  mgdl the attending physician suspects that this might be a case of a genetic mutation in the menin  gene on chromosome  and orders a genetic analysis which of the following is the most likely diagnosis in this patient,vipoma
1054,a yearold gentleman presents to his primary care physician for pain in his right shoulder the patient was helping his son move this past weekend and he noticed after the move that he had pain and weakness in his right shoulder the patient thought that this pain was just him being in poor shape so he started going to the gym and lifting weights which made his symptoms significantly worse the patient has a past medical history of diabetes obesity and asthma his current medications include albuterol lisinopril metformin and glipizide on physical exam you note an obese gentleman who seems to be in pain you note prominent weakness of external rotation of his right upper extremity when you ask the patient to slowly lower his right arm to his side when he holds it overhead you note that he suddenly drops his arm and appears to be in pain the patients strength is  for abduction of the right arm which of the following is most likely injured in this patient,supraspinatus
1055,a yearold male visited his primary care physician for a checkup three months after a throat infection upon examination the patient exhibits painless subcutaneous nodules on the back of the wrist the outside elbow and the front of the knees as well as inflammation in the joints of the lower extremities which of the following symptoms is most likely to also be present in this patient,chorea
1056,a yearold man diagnosed with schizophrenia  years ago presents for followup to discuss his medication the patient was diagnosed with schizophrenia  years ago and has since tried several antipsychotic medications none of which have been able to treat his negative symptoms he has changed to clozapine  weeks ago and says that he does feel better his physical exam is unremarkable and he is responding appropriately to questioning if this patients current medication is to be continued which of the following laboratory tests should be ordered at this timen,complete blood count
1057,a yearold man with hiv comes to the physician because of a month history of weight loss night sweats and productive cough auscultation of the lungs shows coarse crackles at the right upper posterior field an xray of the chest shows an opacity in the right upper lobe sputum analysis shows acidfast bacilli a small amount of tuberculin fluid is injected into the subcutaneous tissue on the left forearm examination of the injected area  hours later shows no induration or erythema impairment of which of the following processes is the most likely cause of the negative tuberculin skin test seen in this patient,interaction of b and cd ligands
1058,a yearold boy is rushed to the emergency room after losing consciousness  mins ago at home the patients mother says that he has had a running nose for the past few days however he did not receive any treatment for it and his condition rapidly worsened today he does not have any significant past medical history his vaccination records are up to date his temperature is c f blood pressure is  mm hg heart rate is min and respiratory rate is min on physical examination the patient is unresponsive there is a petechial rash present on his chest and he has some neck rigidity empiric intravenous antibiotics are started and a lumbar puncture is performed which of the following is the most likely cause of this patients low blood pressure,adrenocortical insufficiency
1059,a chronic opioid abuser undergoes emergency surgery following the operation the man is started on a patient controlled analgesia pca thought to be dosed adequately to control his pain in the face of his opioid tolerance he reports intense pain  hours after the conclusion of the surgery which agent could have been given intraoperatively to reduce this patients risk of developing postoperative hyperalgesia,ketamine
1060,a g lb male newborn is delivered at term to a yearold gravida  para  woman rh within the first  hours after birth the newborn develops fever and a yellow discoloration of skin and sclerae examination shows loss of flexion in the extremities splenomegaly and cyanosis laboratory studies show decreased haptoglobin levels and increased ldh levels a photomicrograph of a peripheral blood smear is shown which of the following is most likely involved in the pathogenesis of this patients condition,deficiency of atp
1061,a yearold woman presents to the emergency department with confusion anxiety sweating and episodes of vomiting she is accompanied by her sister who says that her symptoms developed acutely and is unsure about what caused it she is currently on methimazole which she last took approximately  week ago approximately  days ago she developed an upper respiratory infection managed with bed rest and ibuprofen her temperature is f c blood pressure is  mmhg pulse is min and respirations are min on physical examination the patient has altered mentation and is agitated and diaphoretic the patient also has a goiter exophthalmos warm skin and a hand tremor she is started on intravenous fluids which of the following is the best treatment option for this patient,propranolol
1062,a yearold boy is brought to the emergency department because he was vomiting and seemed abnormally sleepy at home on presentation he is found to be confused and very lethargic his parents said that he has had a fever and cough for several days prior to presentation and was given an over the counter medication physical exam of this patient reveals mild hepatomegaly and dry mucous membranes which of the following effects would the drug most likely also have on the nephron,constriction of afferent arteriole and no effect on efferent arteriole
1063,a yearold woman presents with sudden onset mild vaginal bleeding for the past day she says she is postmenopausal and her last menstrual period was  years ago a detailed workup is performed and several premalignant lesions are found in her uterus the patient agrees to a hysterectomy the surgical team decides to use an anesthesia protocol consisting of nitrous oxide desflurane and atracurium which of the following best describes the role of atracurium in this patients anesthesia,it competes with acetylcholine for binding sites in the neuromuscular junction
1064,a yearold woman presents with recurrent episodes of swelling in her face hands and neck with occasional abdominal pain the symptoms usually resolve in  to  days she has had these swelling events her whole life however they have become more debilitating recently last week she had an event that restricted her ability to eat and swallow  past medical history is noncontributory her father is alive and well with no significant medical history her mother and her maternal aunt have a similar condition today her physical exam is within normal limits she brought a picture of her swollen hand as seen in the picture the treating physician has a strong suspicion of an inherited disorder cinhibitor levels are ordered and found to be extremely low which of the following is the most likely diagnosis of this patient,hereditary angioedema
1065,a yearold woman gravida  para  at  weeks gestation comes to the physician for a prenatal visit she feels well her earlier pregnancy was uncomplicated this is her th prenatal visit she had an ultrasound scan  weeks ago that showed a live intrauterine pregnancy consistent with a week gestation with no anomalies she had a normal pap smear  years ago vital signs are within normal limits pelvic examination shows a uterus consistent in size with a week gestation her blood group and type is b positive which of the following is the most appropriate next step in management,oral glucose challenge test
1066,a yearold man is brought to the emergency department because of a day history of dyspnea chest pain and hemoptysis that were preceded by  days of myalgia and a lowgrade fever he is currently visiting the united states as a tourist from turkey where he works at a factory that processes sheep wool and hide an xray of the chest shows widening of the mediastinum a sputum culture grows grampositive rods in gray colonies that have irregular margins with wavy projections on microscopy which of the following virulence factors of the causal organism increased its survival in host tissue,glutamate capsule
1067,a yearold woman gravida  para  at  weeks gestation is admitted to the hospital for active labor the pregnancy was complicated by gestational diabetes and fetal weight is estimated to be at the th percentile for gestational age during delivery there is an arrest in the second stage of labor and a vacuumassisted delivery is performed postpartum examination shows a thirddegree laceration in the vagina extending into the perineum at the  oclock position this patient is most likely to experience which of the following complications,fecal incontinence
1068,a yearold man presents to his primary care physician for followup he reports a slow and steady weight gain of  pounds over the past  months despite attempts to control his diet and increase his level of exercise his medications include pravastatin lisinopril and hydrochlorothiazide on exam his vital signs are stable he is obese bmi  and his waist circumference is  inches his physician is concerned about an abnormal fasting blood glucose and dyslipidemia on further workup with oral glucose tolerance test the patient is diagnosed with diabetes which of the following associations is consistent with this patients most likely form of diabetes,pancreatic islet cell amyloid deposition
1069,a yearold woman comes to the physician for the evaluation of a right breast mass that she noticed  weeks ago it has rapidly increased in size during this period she does not have pain vital signs are within normal limits examination shows large dense breasts a cm nontender multinodular mass is palpated in the right outer quadrant of the right breast there are no changes in the skin or nipple there is no palpable cervical or axillary adenopathy mammography shows a smooth polylobulated mass biopsy of the mass shows papillary projections of epitheliallined stroma with hyperplasia and atypia which of the following is the most likely diagnosis,phyllodes tumor
1070,a yearold caucasian male presents to your office with dysphagia and halitosis if this patient is also found to have cricopharyngeal muscle dysfunction which of the following is the most likely cause of his presenting symptoms,zenkers diverticulum
1071,a yearold boy is brought to the emergency department because he has not been able to walk since waking up that morning his mother said that when he tried to get out of bed that he was unable to stand without support he also complained of prickling in his hands and feet three weeks ago he had a fever dry cough and a sore throat the fever and sore throat subsided a week after they began but the cough is persisting he has no history of serious illness and takes no medication his vital signs are within normal limits the lungs are clear to auscultation there is severe weakness in both lower extremities and mild sensory loss of the hands and feet knee and ankle jerk reflexes are absent the remainder of the examination shows no abnormalities laboratory studies shownhemoglobin  gdlnleukocyte count mmnsegmented neutrophils neosinophils nlymphocytes nmonocytes nplatelet count mmnerythrocyte sedimentation rate  mmhnserumnna  meqlncl  meqlnk  meqlnhco  meqlnca  mgdlncreatine kinase  ulna lumbar puncture is performed cerebrospinal fluid analysis shows a leukocyte count of mm a glucose concentration of  mgdl and a protein concentration of  mgdl which of the following is the most appropriate next step in treatment,intravenous immunoglobulin ivig
1072,a yearold male presents to the psychiatrist requesting help with his compulsions as they are interfering with his life he explains that he has this fear that something terrible will happen to his house if he does not check every appliance outlet window and door lock faucet and light fixture before he leaves he states that he must check everything  times in a specific order and if he goes out of order he must start from the beginning and perform it all over he has recently been fired from his job because he is always late and lost his fiancee as she could not deal with his habits anymore the physician explained that cognitivebehavioral therapy may be of assistance and also prescribed clomipramine which of the following is the mechanism of reaction of clomipramine,blocks reuptake of norepinephrine and serotonin
1073,a yearold caucasian female presents to the hospital alarmed by her recent truncal weight gain facial hair growth and thinning skin during the physical exam the physician finds that the patient is hypertensive serum analysis reveals hyperglycemia the physician suspects a pituitary adenoma which dexamethasone test result would help confirm the physicians suspicions,lowdose no change in acth highdose decreased acth
1074,a yearold man with chronic back pain comes to the physician to establish care after moving to florida he complains of anxiety nausea abdominal cramping vomiting and diarrhea for three days he denies smoking drinking alcohol and using illicit drugs he appears restless his temperature is c f pulse is min and blood pressure is  mm hg physical examination shows dilated pupils diaphoresis and piloerection his abdominal exam shows diffuse mild tenderness there is no rebound tenderness or guarding his hemoglobin concentration is  gdl leukocyte count is mm and platelet count is mm serum studies and urinalysis show no abnormalities which of the following is the most appropriate pharmacotherapy,methadone
1075,a yearold man comes to the physician because of a month history of cough and progressively worsening difficulty walking up the stairs in his apartment he has noticed that it is easier for him to climb the stairs after he has exercised he has also had a kg lb weight loss over the past  months he has smoked one pack of cigarettes daily for  years examination shows dry mucous membranes the pupils are equal and react sluggishly to light muscle strength in the proximal lower extremity is initially  but increases to  after repeated muscle tapping his achilles reflex is  which of the following is the most likely diagnosis,lamberteaton syndrome
1076,a yearold woman presents to the emergency department with weight loss abdominal pain and jaundice ct demonstrates a mass in the head of the pancreas and biopsy is planned for the following day the patients daughter approaches you outside the room to request that the results of the biopsy not be shared with the patient she asks that the results instead be shared with her and her brother who is the patients documented health care proxy she explains that she and her brother have discussed the situation and decided that it is best to not inform the patient that she has cancer endoscopic ultrasoundguided biopsy the next morning confirms the diagnosis of pancreatic adenocarcinoma which of the following is the best response to the patients daughters request,inquire why the patients daughter feels her mother should not be informed of the diagnosis
1077,a yearold man presents to his primary care provider with fatigue he has been seen in the emergency room  times in the past  years for acute alcohol intoxication his past medical history is notable for diabetes mellitus and gout he takes metformin glyburide and allopurinol his temperature is f c blood pressure is  mmhg pulse is min and respirations are min he is in no acute distress a positive fluid wave is noted the dorsal surface of the tongue is depapillated and there are erythematous swollen patches at the oral commissures a complete blood count and iron studies are reported belownnhemoglobin  gdlnhematocrit nleukocyte count mm with normal differentialnplatelet count mmnnmean corpuscular volume  umniron  ugdlnferritin  ngmlntotal iron binding capacity  mcgdlnnwhich of the following findings is most likely to be seen in this patient,erythroblasts with mitochondrial iron deposits
1078,a yearold man becomes pulseless in the cardiac intensive care unit  hours after admission for stelevation myocardial infarction his blood pressure is  mm hg the ecg monitor shows a tachycardic irregular rhythm with erratic undulations but no discernible p waves or qrs complexes during immediate advanced cardiac life support two attempts at defibrillation are made after which the patient is given  mg of iv epinephrine after another attempt at defibrillation the patient remains pulseless and his blood pressure is  mm hg the ecg monitor shows no changes administration of which of the following is the most appropriate next step in management,amiodarone
1079,a yearold man presents with leftsided numbness diplopia and blurring of vision the diplopia is more prominent on his leftside lateral gaze he denies having fever headache ocular pain lacrimation changes in color vision or limb weakness he has a past medical history of type diabetes mellitus hypertension hypercholesterolemia and ischemic heart disease in addition he had an ischemic stroke  years ago from which he recovered completely with physiotherapy and rehabilitation he has a history of a packyear cigarette smoking habit his medications include aspirin atorvastatin glimepiride metformin metoprolol and ramipril the mental status examination is unremarkable his muscle strength is normal in all  limbs his sensations are decreased on his left side including his face the examination of extraocular movements is shown in the image a lesion in which of the following locations explains the findings during eye examination,medial longitudinal fasciculus
1080,a dayold boy is brought to the emergency department because of a day history of poor feeding irritability and noisy breathing the mother did not receive any prenatal care his respirations are min physical examination shows sunken fontanelles tightly clenched fists and erythema around the umbilical cord stump which of the following best describes the pathogenesis of the disease process in this patient,decreased release of glycine
1081,a yearold woman comes to the physician because of a month history of progressive pain and stiffness of the fingers of her right hand the stiffness is worse at the end of the day she recently retired after working for  years as a typist at a data entry firm physical examination shows swelling jointline tenderness and decreased range of motion of the first metacarpophalangeal joint and the distal interphalangeal joints of the right hand discrete hard mildly tender nodules are palpated over the nd and th distal interphalangeal joints of the right hand an xray of her right hand shows narrowing of the interphalangeal joint spaces with subchondral sclerosis and osteophytes which of the following is the most likely underlying mechanism of this patients condition,degenerative disease of the joints
1082,an yearold man patient recently moved into an assisted living facility and presents today with itchy blisters in his axilla he attributes these to a poor diet he also complains that the nurse practitioner at the facility started him on  new medications in addition to his existing prescriptions on physical examination tense axillary bullae are noted that do not rupture with light gloved touch on direct immunofluorescence linear c and igg deposits are seen along the basement membrane which of the following is the most likely diagnosis,bullous pemphigoid
1083,a previously healthy yearold army recruit is brought to a military treatment facility because of a week history of right foot pain he recently started basic infantry training and has been running several kilometers daily initially the pain only occurred while running but now it is also present at rest the pain is located diffusely over the right forefoot vital signs are within normal range examination shows mild swelling over the distal right forefoot pressing the metatarsal of the third right toe results in pain he walks with an antalgic gait the remainder of the examination shows no abnormalities an xray of the right foot shows a slight loss of cortical density and callus formation at the third metatarsal shaft which of the following is the most appropriate next step in management,rest and acetaminophen
1084,thirty minutes after delivery a g lb oz newborn has noisy breathing bluish discoloration of her lips and intermittent respiratory distress she was born at  weeks gestation and required bagmask resuscitation immediately after delivery pregnancy was uncomplicated her mother has noticed the bluish lip discoloration worsen when she fed and improve when she cried the patients pulse is min respirations are min and blood pressure is  mm hg the crying infants lungs are clear to auscultation further evaluation of this patient is most likely to show which of the following,passage of a catheter through the nasal cavity not possible
1085,a yearold girl is brought to the emergency department by her mother  minutes after the sudden onset of shortness of breath dizziness abdominal pain and urticaria the symptoms began  minutes after she ate a peanut butter sandwich her respirations are min and blood pressure is  mm hg there is stridor on auscultation of the chest she is intubated and mechanical ventilation is begun intravenous fluid resuscitation and the appropriate pharmacotherapy are begun the drug administered to this patient most likely has which of the following effects on cardiac pacemaker cells during an action potential,increased ca influx in phase
1086,a dayold boy is admitted to the neonatal intensive care unit for seizures he was born to a yearold woman at  weeks gestation via cesarean section his birth weight was  grams vital signs are significant for systemic hypotension bradycardia and hypoventilation on physical exam the patient has an altered level of consciousness with decreased spontaneous and elicited movements the patient is hypotonic on motor testing has bulging anterior fontanelle and appears cyanotic which of the following is the best next step in management,cranial ultrasonography
1087,a yearold man seeks an evaluation in the emergency room due to an episode of syncope at work he says that he has felt increasing shortness of breath while exercising over the past  months he is a wellbuilt man in mild distress the vital signs include heart rate min respiratory rate min temperature c f and blood pressure  mm hg the cardiac examination is significant for a harsh systolic ejection murmur at the left lower sternal border which is accentuated by forceful expiration against a closed airway palpation of the carotid artery shows  closely spaced pulses which occur during systole which of the following is most consistent with these findings,hypertrophic cardiomyopathy
1088,a yearold nullipara presents to her physician for a routine checkup at  weeks gestation she has no comorbidities her only complaints are fatigability and a depressed mood for the past  weeks her vital signs are as follows blood pressure  mm hg heart rate min respiratory rate min and temperature   the physical examination is unremarkable and the gynecologic examination is consistent with  weeks gestation a thyroid profile s ordered to check for a possible cause of the fatigability and decreased moodnthyroid stimulating hormone tsh  mulntotal t  nmollnfree t  pmollncorresponding to the obtained results how should the patient be managed,no specific management required
1089,a yearold man presents to your office complaining of rightsided facial swelling that has progressively worsened over the last month after returning from a trip to india on examination the patient has an obvious distortion of the facial features on the right without erythema or lymphadenopathy a neurological exam reveals no deficits his blood pressure is  mm hg heart rate is min and the temperature is c f the patient states that he has been having trouble chewing his food but is not experiencing any pain the patient is up to date on all of his immunizations which of the following is the most likely cause of his facial swelling,benign salivary gland tumor composed of stromal and epithelial tissue
1090,a yearold boy is brought to the physician by his mother his mother reports multiple instances over the past month when she walked into his room while he was masturbating she is worried he may be going through some sort of problem he is currently in th grade his mother says that he is the captain of his high school wrestling team and does reasonably well in school on examination he seems embarrassed and avoids making eye contact physical examination shows no abnormalities which of the following is the most appropriate next step in management,reassure the mother
1091,a yearold man presents to the clinic with easy fatigability and breathlessness when climbing stairs for the last  weeks he also mentions that he occasionally has bouts of cough at night after about  hours of sleep which is relieved when he sits upright he denies shortness of breath at rest palpitations and loss of consciousness he has had hypertension for the last  years and is on antihypertensive medications on physical examination his temperature is c f pulse is min blood pressure is  mm hg and respirations are min chest auscultation reveals crackles over the lung bases bilaterally examination of his abdomen reveals mildly tender hepatomegaly laboratory investigation results include a hemoglobin of  gdl  mmoll and an elevated serum btype natriuretic peptide his twodimensional echocardiogram reveals an enlarged left atrium and an ejection fraction of  which of the following novel drugs is most likely to benefit the patient in addition to valsartan,sacubitril
1092,a yearold man presents to his primary care physician for trouble sleeping the patient states that he recently retired from working the day shift at a cemetery when the patient retired his goal was to finally be able to go out with his wife however he finds that he is unable to stay awake past  pm in the evening his inability to stay awake has been straining his marriage as his wife is disappointed that they cannot do any activities in the evening together the patient has tried drinking caffeine but finds that it does not help the patients wife claims that the patient seems to sleep peacefully and the patient states he feels rested when he awakes the patient has a past medical history of irritable bowel syndrome which is managed with fiber supplements the patients neurological exam is within normal limits which of the following is the most likely diagnosis,advanced sleep phase disorder
